name,type,citta,nazione,sito_web,num_executives,num_fondi,totale_aum_eur,aum_raw,num_portfolio,check_min_eur,check_max_eur,preferenze_geo,focus_investimento,preferenze_settore,remarks
Swiss Life Asset Managers Luxembourg Succursale Italia,Infrastrutture,Milano,Italia,http://www.swisslife-am.com,,15,12600000000,12.6 miliardi EURO,78,,,"Europe, USA",Infrastructure,"Energy and environment, Other, Sustainability, Transportation","Swiss Life Asset Managers is the asset management division of one of the leading life insurance companies in Switzerland with EUR 301 bn total assets under management and >165 years track record in risk-conscious asset management. Established in 2011, the Swiss Life Asset Managers Infrastructure Equity platform manages over EUR 12.6 bn in Assets under Management for its clients and partners. The team consists of over 70 investment and asset management specialists with an average of over 17 years industry experience across the senior level members. The platform has made over 80 infrastructure investments, across 15 solutions, in both direct and indirect opportunities across the energy, communications, transportation, regulated utilities, social infrastructure and renewable energy sectors. The strategy relies on long infrastructure investment horizon, combining deep industry knowledge and expertise with reliability and sustainability.Building an outstanding track recordOver the last 10 years, our highly experienced team has invested in infrastructure for our insurance and third-party clients, drawing on their collective infrastructure expertise to build an excellent track record. Investors benefit from our deep knowledge of the sector, our strong, established global networks and the substantial, long-term engagement of the Swiss Life Group.Our Regional ExpertiseBased in Zurich, Switzerland, the Infrastructure team includes professionals from over 20 different countries, speaking over 21 different languages. Together, they bring a truly international outlook and level of knowledge to the platform. Strengthened by these diverse backgrounds, our established network of trusted relationships with advisers, banks and regulators extends across the globe. These invaluable connections also support our successful sourcing and investment activities at the local level.Our Investment ApproachOur investment approach is focused on long-term, risk-conscious investing in sectors and regions in which we are supported by current megatrends, favourable regulatory regimes, political stability, deep experience and strong networks, source opportunities which fit our investment goals.Real assets, lower volatilityWe take a conservative approach to risk and focus on businesses that are backed by real assets and protected by strong barriers to entry. Our aim is always to protect capital for our investors, while at the same time achieving attractive returns for them."
Tages Capital SGR,"Infrastrutture, Private Debt",Milano,Italia,http://www.tagescapitalsgr.com/,3,5,2100000000,2.1 Bln Euro,17,3000000,250000000,"Europe, Italy","Infrastructure, Private Debt","Agriculture, Biotech, Chemicals and materials, Consumer, Energy and environment, Fashion, Food and Beverages, Furniture, Healthcare, ICT, Industrial products and services, Mechanics, Medtech, Other, Other manufacturing, Retail, Sustainability, Transportation","Tages Capital SGR, based in Milan has more than 40 staff members and manages five funds: three infrastructure funds dedicated to renewable energy and energy transition (through which Tages Capital is the second largest photovoltaic operator in Italy), one generalist infrastructure fund Tages Infra Plus (launched in February 2026)  and the private debt fund Tages Credit Fund that provides credit to support growing Italian SMEs.Overall, Tages Capital SGR has raised more than 1.5 billion euros from leading institutional investors (insurance companies, pension funds, banks) and private banking networks for professional clients.Tages Capital SGR is strongly committed to ESG (Environmental, Social and Governance) aspects, both at product and corporate level. Tages Helios Net Zero Fund is classified art. 9 under the SFDR (Sustainable Finance Disclosure Regulation) contributing to the goals of the Paris Agreement. Tages Credit Fund is classified art. 8 under the SFDR, as well as the new fund, Tages Infra Plus.Tages Capital is signatory to the Principles for Responsible Investment (PRI)."
TeamSystem Capital at Work SGR,Private Debt,Milano,Italia,,,,,,,,,,,,
The Equity Club,,Milano,Italia,https://www.equityclub.eu/,6,,,,,,,,,,
Three Hills Capital Partners,"Private Debt, Private Equity",Milano,Italia,http://www.threehills.com,9,5,3200000000,3.2 Bln Euro,24,10000000,100000000,"Europe, France, Italy, Spain, United Kingdom","Expansion, Impact Investing, Private Debt","Biotech, Chemicals and materials, Energy and environment, Fashion, Financial and insurance activities, Food and Beverages, Healthcare, ICT, Industrial products and services, Mechanics, Other manufacturing, Retail, Sustainability","Three Hills is an established asset management platform providing bespoke capital solutions in Europe and North America through dedicated investment strategies.The firm offers financing solutions to mid-market companies, utilising a full spectrum of downside-protected capital solutions ranging from senior debt to preferred equity, helping to unlock the businesses’ full potential, whilst allowing entrepreneurs and management teams to retain control over their companies.Through a carefully cultivated proprietary network, bringing together a diverse array of investors and forward-thinking entrepreneurs, Three Hills identifies unique opportunities across a variety of sectors.Three Hills has become a trusted partner for entrepreneurs seeking active, hands-on involvement and value creation expertise throughout the investment period, with a proven track record supporting its portfolio companies in executing over 60 M&A acquisitions and entering more than 70 new geographies to date.Three Hills has earned a reputation as an atypical capital provider and innovator thanks to its entrepreneurial approach to financing and, at the same time, for its strong professional and institutional culture within a dynamic environment, where ideas flourish and diversity thrives."
Tikehau Capital,"Private Debt, Private Equity",Milano,Italia,http://www.tikehaucapital.com,10,250,53000000000,53 Bln Euro,800,5000000,,"Europe, USA","Buy Out, Expansion, Impact Investing, Private Debt, Real Estate",,"Tikehau Capital is a global alternative asset management Group with €53 billion of assets under management (as of 31.12.2025). Tikehau Capital has developed a wide range of expertise across four asset classes (credit, real assets, private equity and capital markets strategies). Tikehau Capital is a founder-led team with a differentiated business model, a strong balance sheet, proprietary global deal flow and a track record of backing high quality companies and executives. Tikehau Capital provides bespoke and innovative alternative financing solutions to companies it invests in and seeks to create long-term value for its investors. Leveraging its strong equity base (€3.1 billion of shareholders’ equity as of 31.12.2025), the Group invests its own capital alongside its investor-clients within each of its strategies. Tikehau Capital is guided by a strong entrepreneurial spirit and DNA, shared by its 717 employees (as of 31.12.2025) across its 17 offices in Europe, the Middle East, Asia and North America."
ToSeed,Venture Capital,Siena,Italia,https://toseed.it/,6,1,,20.000.000€,19,250000,1000000,Italy,Early Stage,"Agriculture, Biotech, Chemicals and materials, Energy and environment, Food and Beverages, Industrial products and services, Sustainability","ToSeed & Partners in an Italian agrifoodtech investor. Currently, ToSeed is the management partner of the technology transfer fund “Farming Future” launched together with CDP Venture Capital in 2023. With Farming Future, ToSeed manages approximately €20 million in assets focusing on research projects, pre-seed and seed startups in Italy in the field of agriculture and food. To date, Farming Future has made 19 investments for over €8 million in technological innovations that have the potential to impact the entire value chain from novel farming systems to biotechnology to food traceability."
Trentino Sviluppo,,Rovereto,Italia,http://www.trentinosviluppo.it,3,,,"1,128.8 Bln Euro",40,,,Northern Italy,All Stages,"Agriculture, Biotech, Chemicals and materials, Energy and environment, Financial and insurance activities, Healthcare, ICT, Industrial products and services, Other, Other manufacturing",Trentino Sviluppo is a company established by the Province of Trento to foster the sustainable growth of the“Trentino System” by developing actions and services aimed at supporting the creation of new entrepreneurialand innovation projects. It represents the reference point for enterprises willing to operate in Trentino. Itaccompanies the enterprises at all stages in the process leading to their establishment
Trilantic Europe,Private Equity,Milano,Italia,http://www.trilanticeurope.com,28,4,2500000000,€2.5bn,15,60000000,150000000,Europe,Buy Out,,
Triton,"Private Debt, Private Equity",Milano,Italia,http://www.triton-partners.com,200,11,26000000000,26 Bln Euro,48,30000000,1000000000,"Europe, Italy",Buy Out,"Agriculture, Chemicals and materials, Construction, Healthcare, Industrial products and services, Mechanics","Triton VI: 5.5 Bln Euro (Equity Value between 150 Mln Euro and 1,000 Mln Euro) Triton Smaller mid-market (TSM II): 850 Mln Euro (Equity Value between 30 Mln Euro and 100 Mln Euro)"
Unigrains Italia,Private Equity,Milano,Italia,https://www.unigrains.fr/en/,4,2,80000000,80 Mln Euro,7,8000000,25000000,Italy,"Buy Out, Expansion, Replacement","Agriculture, Food and Beverages","Since 1963, Unigrains has accompanied the development of agri-food and agro-industry companies providing tailor-made financial solutions in equity and quasi-equity, as well as contributing its recognized industry expertise. Unigrains operating as an institutional investor in agribusiness companies at various stages of their development, notably capital restructurings, strategic investments, and acquisitions, ensuring national and international growth. Unigrains entered on Italian private capital market in 2015, sponsoring a PE Fund focus on agribusiness (Fondo Agroalimentare Italiano), and launched in 2023 a fully owned branch (Unigrains Italia SpA) always focused on SME Italian agribusiness companies.The Milan based team pursue an investment strategy based upon supporting entrepreneurs in their development projects to consolidate the industry and assure internal and external growth, acting as lead investor. Thanks to the strong industry expertise and network, the Italian team is able to create value to portfolio companies."
VAM Investments,Private Equity,Milano,Italia,www.vaminvestments.com,,,,,,,,,,,
Ver Capital SGR,,Milano,Italia,https://www.vercapital.com/,,,,,,,,,,,
Vertis SGR,"Private Equity, Venture Capital",Napoli,Italia,http://www.vertis.it,8,9,265000000,265 Mln Euro,23,300000,5000000,Italy,Early Stage,"Aerospace, Agriculture, Financial and insurance activities, ICT, Industrial products and services, Mechanics, Medtech","Vertis was founded in 2007 and since then it has been the only company in Southern Italy that manages private equity and venture capital funds. It is a dynamic and independent investment management company authorized by Bank of Italy. It manages nine closed-end funds for qualified investors by participating in research projects, spin-offs, startups, PMI and deals with the investments of the innovative Made in Italy.  Thanks to its independence, track record and proprietary information, today Vertis has a leading position in the venture capital market and the investments in industrial and digital technologies, thus better identifying investment opportunities. As part of its strategic commitment, Vertis adopts sustainability principles in order to integrate ESG factors within and into its investment process."
Weltix,"Infrastrutture, Private Equity",Milano,Italia,https://www.weltix.tech/,,,,,,,,,,,"Weltix is an innovative fintech company specialized in the digitalization of private assets, aimed at banks, intermediaries, institutional investors and companies.The company integrates within a single architecture all the processes of issuance, placement, custody, governance and taxation, offering a compliant and scalable end to end operating model.Through digital placement services, tokenization on a regulated DLT register with full legal value and digital fiduciary services, Weltix simplifies the structuring and management of financial instruments and shareholdings, making operations in private markets more efficient and transparent."
White Bridge Investments III,,Milano,Italia,,,,,,16,,,Italy,Buy Out,Other,
Wise Equity SGR,Private Equity,Milano,Italia,http://www.wisesgr.com,19,3,640000000,640 Mln Euro,13,10000000,50000000,Italy,"Buy Out, Expansion",,
WRM Group,Private Equity,Milano,Italia,http://www.wrmgroup.net,22,2,600000000,600 Mln €,,,,Europe,All Stages,,"WRM Group, founded in 2009, is an independent investment group with offices in London, Luxembourg and Milan. WRM Group’s activity is focused in Europe on Special Situations, Private Equity and Real Estate, with an event-driven investment philosophy directed towards the creation of value in situations where companies or assets to be acquired are under financial and/or operating stress. This activity is performed by investing in private companies or in listed companies with limited liquidity. The main value catalysts are the sale of non-core divisions by large or medium-sized companies, inadequate capital structures with excessive financial leverage and situations involving family-owned companies undergoing generational transition which are increasingly aware of the importance of attracting external expertise with attentive governance and a process-oriented approach. WRM Group’s investment strategy is implemented across a broad range of industries, typically with a preference for situations where control is obtained. WRM Group’s track record to date covers Food & Beverage, Commercial and Residential Real Estate, ICT, Telecoms & Media, Financial Services, Large-Scale Retail Trade and Renewable Energy. WRM Group’s entities are regulated or supervised by the FCA (UK) and the CSSF (Luxembourg).  WRM Group is a member of ICGN (International Corporate Governance Network), ALFI (Association of the Luxembourg Fund Industry), LPEA (Luxembourg Private Equity Association) and CCIL (Camera di Commercio italo-lussemburghese)."
XGen Venture SGR,Venture Capital,Milano,Italia,https://xgenventure.com/,3,2,177000000,177 Mln Euro,10,,,Italy,Early Stage,Biotech,We specialize in early stage investments in private development-phase companies in the Life Sciences sector.
Yarpa Investimenti SGR,Private Equity,Milano,Italia,http://www.yarpa.it,12,10,900000000,900 Mln Euro (Investment Mandates included),,,,Europe,Buy Out,,YARPA Investimenti SGR is managing closed and reserved alternative investment funds that invest abroadboth in LBO PE Funds or co-investments. In 2018 it was the first Italian management company (SGR) to beauthorized for the activity of managing mandates for professional investors in private equity.
Zenit SGR,Private Debt,Milano,Italia,http://www.zenitonline.it,,2,100000000,100 Mln Euro,35,1000000,8000000,Italy,,,"Zenit SGR employs a team of managers and analysts with extensive and consolidated experience on financial markets, in particular Italian equities and corporate bonds. The management style is active, based on the analysis of the main macroeconomic and microeconomic variables and on companies’ fundamentals. Zenit is committed to manage responsibly all the capital entrusted by its investors: the investment process has been revised to further integrate ESG assessment, developing a proprietary database and software to assign ESG scores, specifically designed to fit Italian SMEs."
